country,date,sector,value,timestamp
UK,17/01/2019,Power,0.298976,1547654400
US,17/01/2019,Power,5.19799,1547654400
WORLD,17/01/2019,Power,43.8538,1547654400
Brazil,18/01/2019,Power,0.164262,1547740800
China,18/01/2019,Power,14.3878,1547740800
EU27 & UK,18/01/2019,Power,3.86784,1547740800
France,18/01/2019,Power,0.164912,1547740800
Germany,18/01/2019,Power,1.04509,1547740800
India,18/01/2019,Power,3.47934,1547740800
Italy,18/01/2019,Power,0.375753,1547740800
Japan,18/01/2019,Power,1.84617,1547740800
ROW,18/01/2019,Power,12.7351,1547740800
Russia,18/01/2019,Power,2.81804,1547740800
Spain,18/01/2019,Power,0.248302,1547740800
UK,18/01/2019,Power,0.329219,1547740800
US,18/01/2019,Power,4.56092,1547740800
WORLD,18/01/2019,Power,43.8595,1547740800
Brazil,19/01/2019,Power,0.095392,1547827200
China,19/01/2019,Power,13.8708,1547827200
EU27 & UK,19/01/2019,Power,3.64124,1547827200
France,19/01/2019,Power,0.15344,1547827200
Germany,19/01/2019,Power,1.00003,1547827200
India,19/01/2019,Power,3.46975,1547827200
Italy,19/01/2019,Power,0.321724,1547827200
Japan,19/01/2019,Power,1.65969,1547827200
ROW,19/01/2019,Power,11.7907,1547827200
Russia,19/01/2019,Power,2.78309,1547827200
Spain,19/01/2019,Power,0.19157,1547827200
UK,19/01/2019,Power,0.310418,1547827200
US,19/01/2019,Power,4.41226,1547827200
WORLD,19/01/2019,Power,41.7228,1547827200
Brazil,20/01/2019,Power,0.090985,1547913600
China,20/01/2019,Power,13.2367,1547913600
EU27 & UK,20/01/2019,Power,3.54791,1547913600
France,20/01/2019,Power,0.150308,1547913600
Germany,20/01/2019,Power,0.992642,1547913600
India,20/01/2019,Power,3.34741,1547913600
Italy,20/01/2019,Power,0.283911,1547913600
Japan,20/01/2019,Power,1.5753,1547913600
ROW,20/01/2019,Power,11.6401,1547913600
Russia,20/01/2019,Power,2.7973,1547913600
Spain,20/01/2019,Power,0.156309,1547913600
UK,20/01/2019,Power,0.325624,1547913600
US,20/01/2019,Power,4.98441,1547913600
WORLD,20/01/2019,Power,41.2201,1547913600
Brazil,21/01/2019,Power,0.129641,1548000000
China,21/01/2019,Power,13.1908,1548000000
EU27 & UK,21/01/2019,Power,4.09946,1548000000
France,21/01/2019,Power,0.161745,1548000000
Germany,21/01/2019,Power,1.1356,1548000000
India,21/01/2019,Power,3.29944,1548000000
Italy,21/01/2019,Power,0.399741,1548000000
Japan,21/01/2019,Power,1.78696,1548000000
ROW,21/01/2019,Power,13.0352,1548000000
Russia,21/01/2019,Power,2.84386,1548000000
Spain,21/01/2019,Power,0.214401,1548000000
UK,21/01/2019,Power,0.361657,1548000000
US,21/01/2019,Power,5.49785,1548000000
WORLD,21/01/2019,Power,43.8831,1548000000
Brazil,22/01/2019,Power,0.140541,1548086400
China,22/01/2019,Power,13.2526,1548086400
EU27 & UK,22/01/2019,Power,4.09247,1548086400
France,22/01/2019,Power,0.162303,1548086400
Germany,22/01/2019,Power,1.11869,1548086400
India,22/01/2019,Power,3.29104,1548086400
Italy,22/01/2019,Power,0.402625,1548086400
Japan,22/01/2019,Power,1.85024,1548086400
ROW,22/01/2019,Power,13.1959,1548086400
Russia,22/01/2019,Power,2.91722,1548086400
Spain,22/01/2019,Power,0.208419,1548086400
UK,22/01/2019,Power,0.365406,1548086400
US,22/01/2019,Power,5.37053,1548086400
WORLD,22/01/2019,Power,44.1105,1548086400
Brazil,23/01/2019,Power,0.168923,1548172800
China,23/01/2019,Power,13.1233,1548172800
EU27 & UK,23/01/2019,Power,4.15474,1548172800
France,23/01/2019,Power,0.165401,1548172800
Germany,23/01/2019,Power,1.14961,1548172800
India,23/01/2019,Power,3.43137,1548172800
Italy,23/01/2019,Power,0.403559,1548172800
Japan,23/01/2019,Power,1.83616,1548172800
ROW,23/01/2019,Power,13.1844,1548172800
Russia,23/01/2019,Power,3.00109,1548172800
Spain,23/01/2019,Power,0.144425,1548172800
UK,23/01/2019,Power,0.411843,1548172800
US,23/01/2019,Power,5.06851,1548172800
WORLD,23/01/2019,Power,43.9686,1548172800
Brazil,24/01/2019,Power,0.167058,1548259200
China,24/01/2019,Power,12.8882,1548259200
EU27 & UK,24/01/2019,Power,4.26199,1548259200
France,24/01/2019,Power,0.172797,1548259200
Germany,24/01/2019,Power,1.15257,1548259200
India,24/01/2019,Power,3.3666,1548259200
Italy,24/01/2019,Power,0.417225,1548259200
Japan,24/01/2019,Power,1.85775,1548259200
ROW,24/01/2019,Power,13.2629,1548259200
Russia,24/01/2019,Power,3.02179,1548259200
Spain,24/01/2019,Power,0.175748,1548259200
UK,24/01/2019,Power,0.427218,1548259200
US,24/01/2019,Power,4.8629,1548259200
WORLD,24/01/2019,Power,43.6892,1548259200
Brazil,25/01/2019,Power,0.144642,1548345600
China,25/01/2019,Power,12.6447,1548345600
EU27 & UK,25/01/2019,Power,3.89558,1548345600
France,25/01/2019,Power,0.162476,1548345600
Germany,25/01/2019,Power,1.09783,1548345600
India,25/01/2019,Power,3.31263,1548345600
Italy,25/01/2019,Power,0.357802,1548345600
