,country,sector,value,timestamp,year,month,day
154,Brazil,Power,0.12548399999999998,1547222400,2019,1,12
155,China,Power,14.8271,1547222400,2019,1,12
156,EU27 & UK,Power,2.57574,1547222400,2019,1,12
157,France,Power,0.129943,1547222400,2019,1,12
158,Germany,Power,0.624668,1547222400,2019,1,12
159,India,Power,3.5081300000000004,1547222400,2019,1,12
160,Italy,Power,0.281727,1547222400,2019,1,12
161,Japan,Power,1.78522,1547222400,2019,1,12
162,ROW,Power,11.6543,1547222400,2019,1,12
163,Russia,Power,2.91859,1547222400,2019,1,12
164,Spain,Power,0.15242999999999998,1547222400,2019,1,12
165,UK,Power,0.14740699999999998,1547222400,2019,1,12
166,US,Power,4.5774,1547222400,2019,1,12
167,WORLD,Power,41.9719,1547222400,2019,1,12
168,Brazil,Power,0.10718299999999999,1547308800,2019,1,13
169,China,Power,14.3616,1547308800,2019,1,13
170,EU27 & UK,Power,1.9334900000000002,1547308800,2019,1,13
171,France,Power,0.061937,1547308800,2019,1,13
172,Germany,Power,0.392351,1547308800,2019,1,13
173,India,Power,3.3318199999999996,1547308800,2019,1,13
174,Italy,Power,0.241296,1547308800,2019,1,13
175,Japan,Power,1.56039,1547308800,2019,1,13
176,ROW,Power,10.4239,1547308800,2019,1,13
177,Russia,Power,2.8113099999999998,1547308800,2019,1,13
178,Spain,Power,0.14421099999999998,1547308800,2019,1,13
179,UK,Power,0.126868,1547308800,2019,1,13
180,US,Power,4.83617,1547308800,2019,1,13
181,WORLD,Power,39.3659,1547308800,2019,1,13
182,Brazil,Power,0.1445,1547395200,2019,1,14
183,China,Power,14.355,1547395200,2019,1,14
184,EU27 & UK,Power,2.83323,1547395200,2019,1,14
185,France,Power,0.12276300000000001,1547395200,2019,1,14
186,Germany,Power,0.592366,1547395200,2019,1,14
187,India,Power,3.24067,1547395200,2019,1,14
188,Italy,Power,0.325518,1547395200,2019,1,14
189,Japan,Power,1.64795,1547395200,2019,1,14
190,ROW,Power,11.6334,1547395200,2019,1,14
191,Russia,Power,2.8311,1547395200,2019,1,14
192,Spain,Power,0.20821599999999998,1547395200,2019,1,14
193,UK,Power,0.287997,1547395200,2019,1,14
194,US,Power,5.38965,1547395200,2019,1,14
195,WORLD,Power,42.0755,1547395200,2019,1,14
196,Brazil,Power,0.14332899999999998,1547481600,2019,1,15
197,China,Power,14.2126,1547481600,2019,1,15
198,EU27 & UK,Power,3.05678,1547481600,2019,1,15
199,France,Power,0.14605,1547481600,2019,1,15
200,Germany,Power,0.7067399999999999,1547481600,2019,1,15
201,India,Power,3.3210300000000004,1547481600,2019,1,15
202,Italy,Power,0.35230300000000003,1547481600,2019,1,15
203,Japan,Power,1.9136799999999998,1547481600,2019,1,15
204,ROW,Power,12.7351,1547481600,2019,1,15
205,Russia,Power,2.76514,1547481600,2019,1,15
206,Spain,Power,0.251066,1547481600,2019,1,15
207,UK,Power,0.23961500000000002,1547481600,2019,1,15
208,US,Power,5.3497699999999995,1547481600,2019,1,15
209,WORLD,Power,43.4974,1547481600,2019,1,15
210,Brazil,Power,0.162147,1547568000,2019,1,16
211,China,Power,14.4946,1547568000,2019,1,16
212,EU27 & UK,Power,3.17823,1547568000,2019,1,16
213,France,Power,0.14873499999999998,1547568000,2019,1,16
214,Germany,Power,0.740861,1547568000,2019,1,16
215,India,Power,3.4025800000000004,1547568000,2019,1,16
216,Italy,Power,0.384533,1547568000,2019,1,16
217,Japan,Power,1.8637400000000002,1547568000,2019,1,16
218,ROW,Power,12.609000000000002,1547568000,2019,1,16
219,Russia,Power,2.799,1547568000,2019,1,16
220,Spain,Power,0.252486,1547568000,2019,1,16
221,UK,Power,0.256772,1547568000,2019,1,16
222,US,Power,5.28107,1547568000,2019,1,16
223,WORLD,Power,43.7903,1547568000,2019,1,16
224,Brazil,Power,0.16607,1547654400,2019,1,17
225,China,Power,14.4056,1547654400,2019,1,17
226,EU27 & UK,Power,3.31448,1547654400,2019,1,17
227,France,Power,0.14464100000000002,1547654400,2019,1,17
228,Germany,Power,0.771995,1547654400,2019,1,17
229,India,Power,3.41937,1547654400,2019,1,17
230,Italy,Power,0.385411,1547654400,2019,1,17
231,Japan,Power,1.85382,1547654400,2019,1,17
232,ROW,Power,12.6485,1547654400,2019,1,17
233,Russia,Power,2.84802,1547654400,2019,1,17
234,Spain,Power,0.234711,1547654400,2019,1,17
235,UK,Power,0.298976,1547654400,2019,1,17
236,US,Power,5.19799,1547654400,2019,1,17
237,WORLD,Power,43.8538,1547654400,2019,1,17
238,Brazil,Power,0.164262,1547740800,2019,1,18
239,China,Power,14.3878,1547740800,2019,1,18
240,EU27 & UK,Power,3.86784,1547740800,2019,1,18
241,France,Power,0.16491199999999998,1547740800,2019,1,18
242,Germany,Power,1.04509,1547740800,2019,1,18
243,India,Power,3.47934,1547740800,2019,1,18
244,Italy,Power,0.375753,1547740800,2019,1,18
245,Japan,Power,1.84617,1547740800,2019,1,18
246,ROW,Power,12.7351,1547740800,2019,1,18
247,Russia,Power,2.8180400000000003,1547740800,2019,1,18
248,Spain,Power,0.248302,1547740800,2019,1,18
249,UK,Power,0.329219,1547740800,2019,1,18
250,US,Power,4.560919999999999,1547740800,2019,1,18
251,WORLD,Power,43.8595,1547740800,2019,1,18
252,Brazil,Power,0.09539199999999999,1547827200,2019,1,19
253,China,Power,13.8708,1547827200,2019,1,19
254,EU27 & UK,Power,3.6412400000000003,1547827200,2019,1,19
255,France,Power,0.15344000000000002,1547827200,2019,1,19
256,Germany,Power,1.00003,1547827200,2019,1,19
257,India,Power,3.46975,1547827200,2019,1,19
258,Italy,Power,0.32172399999999995,1547827200,2019,1,19
259,Japan,Power,1.65969,1547827200,2019,1,19
260,ROW,Power,11.7907,1547827200,2019,1,19
261,Russia,Power,2.78309,1547827200,2019,1,19
262,Spain,Power,0.19157000000000002,1547827200,2019,1,19
263,UK,Power,0.31041799999999997,1547827200,2019,1,19
264,US,Power,4.41226,1547827200,2019,1,19
265,WORLD,Power,41.7228,1547827200,2019,1,19
266,Brazil,Power,0.090985,1547913600,2019,1,20
267,China,Power,13.2367,1547913600,2019,1,20
268,EU27 & UK,Power,3.54791,1547913600,2019,1,20
269,France,Power,0.150308,1547913600,2019,1,20
270,Germany,Power,0.992642,1547913600,2019,1,20
271,India,Power,3.34741,1547913600,2019,1,20
272,Italy,Power,0.283911,1547913600,2019,1,20
273,Japan,Power,1.5753,1547913600,2019,1,20
274,ROW,Power,11.6401,1547913600,2019,1,20
275,Russia,Power,2.7973,1547913600,2019,1,20
276,Spain,Power,0.156309,1547913600,2019,1,20
277,UK,Power,0.32562399999999997,1547913600,2019,1,20
278,US,Power,4.98441,1547913600,2019,1,20
279,WORLD,Power,41.2201,1547913600,2019,1,20
280,Brazil,Power,0.129641,1548000000,2019,1,21
281,China,Power,13.1908,1548000000,2019,1,21
282,EU27 & UK,Power,4.09946,1548000000,2019,1,21
